Place_Id,Place_Name,Img_Path_0,Img_Path_1,Img_Path_2
46,Pulau Semak Daun,images_output\Pulau Semak Daun\Pulau Semak Daun_0.jpg,nan,nan
47,Taman Situ Lembang,images_output\Taman Situ Lembang\Taman Situ Lembang_0.jpg,images_output\Taman Situ Lembang\Taman Situ Lembang_1.jpg,images_output\Taman Situ Lembang\Taman Situ Lembang_2.jpg
48,Taman Ismail Marzuki,images_output\Taman Ismail Marzuki\Taman Ismail Marzuki_0.jpg,images_output\Taman Ismail Marzuki\Taman Ismail Marzuki_1.png,nan
49,Galeri Indonesia Kaya,images_output\Galeri Indonesia Kaya\Galeri Indonesia Kaya_0.jpg,images_output\Galeri Indonesia Kaya\Galeri Indonesia Kaya_1.jpg,images_output\Galeri Indonesia Kaya\Galeri Indonesia Kaya_2.jpg
50,Museum Joang 45,images_output\Museum Joang 45\Museum Joang 45_0.jpg,images_output\Museum Joang 45\Museum Joang 45_1.jpg,images_output\Museum Joang 45\Museum Joang 45_2.jpg
51,Jakarta Planetarium,images_output\Jakarta Planetarium\Jakarta Planetarium_0.jpg,images_output\Jakarta Planetarium\Jakarta Planetarium_1.png,images_output\Jakarta Planetarium\Jakarta Planetarium_2.jpg
52,Kampung Cina,images_output\Kampung Cina\Kampung Cina_0.jpg,images_output\Kampung Cina\Kampung Cina_1.jpg,nan
53,Rumah Sipitung,images_output\Rumah Sipitung\Rumah Sipitung_0.jpg,images_output\Rumah Sipitung\Rumah Sipitung_1.jpg,nan
54,Taman Agrowisata Cilangkap,images_output\Taman Agrowisata Cilangkap\Taman Agrowisata Cilangkap_0.jpg,images_output\Taman Agrowisata Cilangkap\Taman Agrowisata Cilangkap_1.jpg,nan
55,Klenteng Jin De Yuan,images_output\Klenteng Jin De Yuan\Klenteng Jin De Yuan_0.jpg,images_output\Klenteng Jin De Yuan\Klenteng Jin De Yuan_1.jpg,nan
56,Pantai Ancol,images_output\Pantai Ancol\Pantai Ancol_0.jpg,images_output\Pantai Ancol\Pantai Ancol_1.jpg,images_output\Pantai Ancol\Pantai Ancol_2.jpg
57,Taman Lapangan Banteng,images_output\Taman Lapangan Banteng\Taman Lapangan Banteng_0.jpg,images_output\Taman Lapangan Banteng\Taman Lapangan Banteng_1.jpg,nan
58,Taman Ayodya,images_output\Taman Ayodya\Taman Ayodya_0.jpg,images_output\Taman Ayodya\Taman Ayodya_1.jpg,nan
59,Museum Sumpah Pemuda,images_output\Museum Sumpah Pemuda\Museum Sumpah Pemuda_0.jpg,nan,nan
60,Museum Tekstil,images_output\Museum Tekstil\Museum Tekstil_0.jpg,images_output\Museum Tekstil\Museum Tekstil_1.jpg,images_output\Museum Tekstil\Museum Tekstil_2.jpg
61,Tugu Proklamasi,images_output\Tugu Proklamasi\Tugu Proklamasi_0.jpg,images_output\Tugu Proklamasi\Tugu Proklamasi_1.jpg,images_output\Tugu Proklamasi\Tugu Proklamasi_2.jpg
62,Taman Legenda Keong Emas,images_output\Taman Legenda Keong Emas\Taman Legenda Keong Emas_0.jpg,nan,nan
63,Museum Kebangkitan Nasional,images_output\Museum Kebangkitan Nasional\Museum Kebangkitan Nasional_0.jpg,images_output\Museum Kebangkitan Nasional\Museum Kebangkitan Nasional_1.jpg,nan
64,Museum Sasmita Loka Ahmad Yani,images_output\Museum Sasmita Loka Ahmad Yani\Museum Sasmita Loka Ahmad Yani_0.jpg,images_output\Museum Sasmita Loka Ahmad Yani\Museum Sasmita Loka Ahmad Yani_1.jpg,nan
65,Museum Basoeki Abdullah,images_output\Museum Basoeki Abdullah\Museum Basoeki Abdullah_0.jpg,images_output\Museum Basoeki Abdullah\Museum Basoeki Abdullah_1.jpg,nan
66,Museum Layang-layang,images_output\Museum Layang-layang\Museum Layang-layang_0.jpg,images_output\Museum Layang-layang\Museum Layang-layang_1.png,images_output\Museum Layang-layang\Museum Layang-layang_2.jpg
67,Margasatwa Muara Angke,images_output\Margasatwa Muara Angke\Margasatwa Muara Angke_0.jpg,images_output\Margasatwa Muara Angke\Margasatwa Muara Angke_1.jpg,images_output\Margasatwa Muara Angke\Margasatwa Muara Angke_2.jpg
68,Pasar Petak Sembilan,images_output\Pasar Petak Sembilan\Pasar Petak Sembilan_0.jpg,nan,images_output\Pasar Petak Sembilan\Pasar Petak Sembilan_2.jpg
69,Freedom Library,images_output\Freedom Library\Freedom Library_0.jpg,images_output\Freedom Library\Freedom Library_1.jpg,images_output\Freedom Library\Freedom Library_2.jpg
70,Perpustakaan Nasional,images_output\Perpustakaan Nasional\Perpustakaan Nasional_0.jpg,images_output\Perpustakaan Nasional\Perpustakaan Nasional_1.jpg,nan
71,Cibubur Garden Diary (Cibugary),images_output\Cibubur Garden Diary (Cibugary)\Cibubur Garden Diary (Cibugary)_0.jpg,images_output\Cibubur Garden Diary (Cibugary)\Cibubur Garden Diary (Cibugary)_1.jpg,nan
72,Waterboom PIK (Pantai Indah Kapuk),images_output\Waterboom PIK (Pantai Indah Kapuk)\Waterboom PIK (Pantai Indah Kapuk)_0.jpg,images_output\Waterboom PIK (Pantai Indah Kapuk)\Waterboom PIK (Pantai Indah Kapuk)_1.jpg,nan
73,Museum Perangko,images_output\Museum Perangko\Museum Perangko_0.jpg,images_output\Museum Perangko\Museum Perangko_1.jpg,images_output\Museum Perangko\Museum Perangko_2.jpg
74,Museum Tengah Kebun,images_output\Museum Tengah Kebun\Museum Tengah Kebun_0.jpg,images_output\Museum Tengah Kebun\Museum Tengah Kebun_1.jpg,images_output\Museum Tengah Kebun\Museum Tengah Kebun_2.jpg
75,SnowBay Waterpark,images_output\SnowBay Waterpark\SnowBay Waterpark_0.jpg,images_output\SnowBay Waterpark\SnowBay Waterpark_1.jpg,nan
76,Taman Cattleya,images_output\Taman Cattleya\Taman Cattleya_0.jpg,images_output\Taman Cattleya\Taman Cattleya_1.jpg,images_output\Taman Cattleya\Taman Cattleya_2.png
77,Taman Hutan Tebet,images_output\Taman Hutan Tebet\Taman Hutan Tebet_0.jpg,images_output\Taman Hutan Tebet\Taman Hutan Tebet_1.jpg,images_output\Taman Hutan Tebet\Taman Hutan Tebet_2.jpg
78,Hutan Kota Srengseng,images_output\Hutan Kota Srengseng\Hutan Kota Srengseng_0.jpg,images_output\Hutan Kota Srengseng\Hutan Kota Srengseng_1.jpg,nan
79,Taman Spathodea,images_output\Taman Spathodea\Taman Spathodea_0.jpg,images_output\Taman Spathodea\Taman Spathodea_1.jpg,nan
80,Plaza Indonesia,images_output\Plaza Indonesia\Plaza Indonesia_0.jpg,images_output\Plaza Indonesia\Plaza Indonesia_1.jpg,nan
81,Mall Thamrin City,images_output\Mall Thamrin City\Mall Thamrin City_0.jpg,images_output\Mall Thamrin City\Mall Thamrin City_1.jpg,images_output\Mall Thamrin City\Mall Thamrin City_2.jpg
82,Museum Satria Mandala,images_output\Museum Satria Mandala\Museum Satria Mandala_0.jpg,images_output\Museum Satria Mandala\Museum Satria Mandala_1.jpg,nan
83,Alive Museum Ancol,images_output\Alive Museum Ancol\Alive Museum Ancol_0.jpg,images_output\Alive Museum Ancol\Alive Museum Ancol_1.jpg,images_output\Alive Museum Ancol\Alive Museum Ancol_2.jpg
84,Kawasan Kuliner BSM,images_output\Kawasan Kuliner BSM\Kawasan Kuliner BSM_0.jpg,images_output\Kawasan Kuliner BSM\Kawasan Kuliner BSM_1.jpg,nan
85,Taman Pintar Yogyakarta,images_output\Taman Pintar Yogyakarta\Taman Pintar Yogyakarta_0.png,images_output\Taman Pintar Yogyakarta\Taman Pintar Yogyakarta_1.jpg,nan
86,Keraton Yogyakarta,images_output\Keraton Yogyakarta\Keraton Yogyakarta_0.png,images_output\Keraton Yogyakarta\Keraton Yogyakarta_1.jpg,images_output\Alun-alun Utara Keraton Yogyakarta\Alun-alun Utara Keraton Yogyakarta_2.jpg
87,Sindu Kusuma Edupark (SKE),images_output\Sindu Kusuma Edupark (SKE)\Sindu Kusuma Edupark (SKE)_0.jpg,nan,nan
88,Museum Benteng Vredeburg Yogyakarta,images_output\Museum Benteng Vredeburg Yogyakarta\Museum Benteng Vredeburg Yogyakarta_0.jpg,nan,nan
89,De Mata Museum Jogja,images_output\De Mata Museum Jogja\De Mata Museum Jogja_0.jpg,images_output\De Mata Museum Jogja\De Mata Museum Jogja_1.jpg,images_output\De Mata Museum Jogja\De Mata Museum Jogja_2.jpg
90,Kampung Wisata Taman Sari,images_output\Kampung Wisata Taman Sari\Kampung Wisata Taman Sari_0.jpg,images_output\Kampung Wisata Taman Sari\Kampung Wisata Taman Sari_1.jpg,images_output\Kampung Wisata Taman Sari\Kampung Wisata Taman Sari_2.jpg
91,Situs Warungboto,images_output\Situs Warungboto\Situs Warungboto_0.jpg,nan,nan
92,Nol Kilometer Jl.Malioboro,images_output\Nol Kilometer Jl.Malioboro\Nol Kilometer Jl.Malioboro_0.png,images_output\Nol Kilometer Jl.Malioboro\Nol Kilometer Jl.Malioboro_1.png,nan
93,Gembira Loka Zoo,images_output\Gembira Loka Zoo\Gembira Loka Zoo_0.jpg,images_output\Gembira Loka Zoo\Gembira Loka Zoo_1.jpg,nan
94,Sumur Gumuling,images_output\Sumur Gumuling\Sumur Gumuling_0.jpg,nan,nan
95,Desa Wisata Sungai Code Jogja Kota,images_output\Desa Wisata Sungai Code Jogja Kota\Desa Wisata Sungai Code Jogja Kota_0.jpg,images_output\Desa Wisata Sungai Code Jogja Kota\Desa Wisata Sungai Code Jogja Kota_1.jpg,images_output\Desa Wisata Sungai Code Jogja Kota\Desa Wisata Sungai Code Jogja Kota_2.jpg
96,Alun Alun Selatan Yogyakarta,images_output\Alun Alun Selatan Yogyakarta\Alun Alun Selatan Yogyakarta_0.jpg,images_output\Alun Alun Selatan Yogyakarta\Alun Alun Selatan Yogyakarta_1.jpg,images_output\Alun Alun Selatan Yogyakarta\Alun Alun Selatan Yogyakarta_2.jpg
97,Monumen Yogya Kembali,images_output\Monumen Yogya Kembali\Monumen Yogya Kembali_0.jpg,images_output\Monumen Yogya Kembali\Monumen Yogya Kembali_1.jpg,nan
98,Taman Pelangi Yogyakarta,images_output\Taman Pelangi Yogyakarta\Taman Pelangi Yogyakarta_0.jpg,nan,nan
99,Kampung Wisata Kadipaten,images_output\Kampung Wisata Kadipaten\Kampung Wisata Kadipaten_0.jpg,images_output\Kampung Wisata Kadipaten\Kampung Wisata Kadipaten_1.jpg,nan
100,Taman Budaya Yogyakarta,images_output\Taman Budaya Yogyakarta\Taman Budaya Yogyakarta_0.jpg,images_output\Taman Budaya Yogyakarta\Taman Budaya Yogyakarta_1.jpg,images_output\Taman Budaya Yogyakarta\Taman Budaya Yogyakarta_2.jpg
101,Kampung Wisata Sosro Menduran,images_output\Kampung Wisata Sosro Menduran\Kampung Wisata Sosro Menduran_0.jpg,images_output\Kampung Wisata Sosro Menduran\Kampung Wisata Sosro Menduran_1.jpg,images_output\Kampung Wisata Sosro Menduran\Kampung Wisata Sosro Menduran_2.jpg
102,Monumen Batik Yogyakarta,images_output\Monumen Batik Yogyakarta\Monumen Batik Yogyakarta_0.jpg,nan,nan
103,Tugu Pal Putih Jogja,images_output\Tugu Pal Putih Jogja\Tugu Pal Putih Jogja_0.jpg,images_output\Tugu Pal Putih Jogja\Tugu Pal Putih Jogja_1.jpg,nan
104,Tebing Breksi,images_output\Tebing Breksi\Tebing Breksi_0.jpg,images_output\Tebing Breksi\Tebing Breksi_1.jpg,nan
105,Candi Donotirto,images_output\Candi Donotirto\Candi Donotirto_0.jpg,images_output\Candi Donotirto\Candi Donotirto_1.jpg,nan
106,Kawasan Malioboro,images_output\Kawasan Malioboro\Kawasan Malioboro_0.jpg,images_output\Kawasan Malioboro\Kawasan Malioboro_1.jpg,images_output\Kawasan Malioboro\Kawasan Malioboro_2.jpg
107,Bangsal Pagelaran,images_output\Bangsal Pagelaran\Bangsal Pagelaran_0.jpg,images_output\Bangsal Pagelaran\Bangsal Pagelaran_1.jpg,images_output\Bangsal Pagelaran\Bangsal Pagelaran_2.jpg
108,Embung Tambakboyo,images_output\Embung Tambakboyo\Embung Tambakboyo_0.jpg,images_output\Embung Tambakboyo\Embung Tambakboyo_1.jpg,nan
109,Hutan Pinus Pengger,images_output\Hutan Pinus Pengger\Hutan Pinus Pengger_0.jpg,images_output\Hutan Pinus Pengger\Hutan Pinus Pengger_1.jpg,images_output\Hutan Pinus Pengger\Hutan Pinus Pengger_2.jpg
110,Monumen Serangan Umum 1 Maret,images_output\Monumen Serangan Umum 1 Maret\Monumen Serangan Umum 1 Maret_0.jpg,nan,nan
111,Puncak Pinus Becici,images_output\Puncak Pinus Becici\Puncak Pinus Becici_0.jpg,images_output\Puncak Pinus Becici\Puncak Pinus Becici_1.jpg,nan
112,Bukit Bintang Yogyakarta,images_output\Bukit Bintang Yogyakarta\Bukit Bintang Yogyakarta_0.png,images_output\Bukit Bintang Yogyakarta\Bukit Bintang Yogyakarta_1.jpg,nan
113,Gedung Agung Yogyakarta,images_output\Gedung Agung Yogyakarta\Gedung Agung Yogyakarta_0.jpg,images_output\Gedung Agung Yogyakarta\Gedung Agung Yogyakarta_1.jpg,nan
114,The Lost World Castle,images_output\The Lost World Castle\The Lost World Castle_0.jpg,images_output\The Lost World Castle\The Lost World Castle_1.jpg,nan
115,Monumen Sanapati,images_output\Monumen Sanapati\Monumen Sanapati_0.jpg,images_output\Monumen Sanapati\Monumen Sanapati_1.jpg,images_output\Monumen Sanapati\Monumen Sanapati_2.jpg
